times, f
0.000000000000000000e+00,1.000000000000000000e+00
3.440103997269555042e-03,9.835212443582824760e-01
6.880207994539110083e-03,9.672466432303107320e-01
1.032031199180866513e-02,9.511745606869657088e-01
1.376041598907822017e-02,9.353033607991297904e-01
1.720051998634777521e-02,9.196314076376849167e-01
2.064062398361733025e-02,9.041570652735121394e-01
2.408072798088688529e-02,8.888786977774938425e-01
2.752083197815644033e-02,8.737946692205116328e-01
3.096093597542599538e-02,8.589033436734470062e-01
3.440103997269555042e-02,8.442030852071821245e-01
3.784114396996510199e-02,8.296922578925983727e-01
4.128124796723466050e-02,8.153692258005785787e-01
4.472135196450421901e-02,8.012323530020031281e-01
4.816145596177377058e-02,7.872800035677544050e-01
5.160155995904332216e-02,7.735105415687145713e-01
5.504166395631288067e-02,7.599223310757646788e-01
5.848176795358243918e-02,7.465137361597866672e-01
6.192187195085199075e-02,7.332831208916632537e-01
6.536197594812154232e-02,7.202288493422749349e-01
6.880207994539110083e-02,7.073492855825037617e-01
7.224218394266065935e-02,6.946427936832322292e-01
7.568228793993020398e-02,6.821077377153412780e-01
7.912239193719976249e-02,6.697424817497132921e-01
8.256249593446932100e-02,6.575453898572295452e-01
8.600259993173887951e-02,6.455148261087723105e-01
8.944270392900843802e-02,6.336491545752229726e-01
9.288280792627798266e-02,6.219467393274638045e-01
9.632291192354754117e-02,6.104059444363759690e-01
9.976301592081709968e-02,5.990251339728415170e-01
1.032031199180866443e-01,5.878026720077421663e-01
1.066432239153562028e-01,5.767369226119601899e-01
1.100833279126257613e-01,5.658262498563764176e-01
1.135234319098953198e-01,5.550690178118733442e-01
1.169635359071648784e-01,5.444635905493325767e-01
1.204036399044344230e-01,5.340083321396358329e-01
1.238437439017039815e-01,5.237016066536648307e-01
1.272838478989735400e-01,5.135417781623016209e-01
1.307239518962430846e-01,5.035272107364275884e-01
1.341640558935126570e-01,4.936562684469249507e-01
1.376041598907822017e-01,4.839273153646749814e-01
1.410442638880517463e-01,4.743387155605598982e-01
1.444843678853213187e-01,4.648888331054612522e-01
1.479244718825908633e-01,4.555760320702610389e-01
1.513645758798604080e-01,4.463986765258407541e-01
1.548046798771299803e-01,4.373551305430822267e-01
1.582447838743995250e-01,4.284437581928673966e-01
1.616848878716690974e-01,4.196629235460779261e-01
1.651249918689386420e-01,4.110109906735955332e-01
1.685650958662081866e-01,4.024863236463023242e-01
1.720051998634777590e-01,3.940872865350795728e-01
1.754453038607473037e-01,3.858122434108094967e-01
1.788854078580168760e-01,3.776595583443735360e-01
1.823255118552864207e-01,3.696275954066536307e-01
1.857656158525559653e-01,3.617147186685316096e-01
1.892057198498255377e-01,3.539192922008892461e-01
1.926458238470950823e-01,3.462396800746080916e-01
1.960859278443646270e-01,3.386742463605703080e-01
1.995260318416341994e-01,3.312213551296573355e-01
2.029661358389037440e-01,3.238793704527510586e-01
2.064062398361732886e-01,3.166466564007333617e-01
2.098463438334428610e-01,3.095215770444857961e-01
2.132864478307124056e-01,3.025024964548904127e-01
2.167265518279819780e-01,2.955877787028288184e-01
2.201666558252515227e-01,2.887757878591827865e-01
2.236067598225210673e-01,2.820648879948341459e-01
